stu,cluster
946,27
1073,68
3281,61
2059,19
675,58
1820,2
596,30
2289,72
1025,27
284,29
2442,21
690,42
964,53
1770,37
1979,31
3267,18
3103,32
2156,72
705,58
451,62
757,68
2655,21
306,52
1117,2
1104,32
2184,27
2666,30
2895,2
3263,20
2404,30
435,53
381,82
824,14
2845,1
2045,97
548,79
3286,9
720,42
806,2
3181,72
166,50
1455,2
1541,42
2387,62
1602,21
2312,68
3187,2
1039,60
671,42
3025,89
199,83
1534,2
1668,2
2211,21
2875,1
277,2
2076,62
2537,42
1363,40
352,32
2742,2
2876,2
1747,2
1089,2
2591,98
134,75
2552,27
1872,2
11,4
2358,12
3089,2
1906,31
3236,21
1852,60
678,58
1248,31
1040,2
1636,27
2777,1
1688,37
2346,43
149,59
1115,32
652,42
798,96
3006,89
2838,96
1461,31
287,29
2856,1
2164,2
3198,30
2445,21
3033,42
1041,2
2570,52
2723,2
1728,2
708,58
2238,73
230,25
1423,40
2511,2
2249,2
1120,2
1362,30
2187,27
2721,77
3090,60
1057,68
659,58
2431,15
2285,40
2023,40
2983,82
2927,38
2350,26
3112,83
561,16
1562,96
3136,68
2646,24
626,2
1494,77
1863,60
963,32
2096,2
1101,2
2745,2
2879,2
2273,43
2388,30
1434,31
2774,65
369,52
704,42
978,16
1252,27
3092,2
1084,34
2005,5
3239,21
1855,60
244,57
2371,62
310,2
1639,27
3093,83
783,42
320,52
1086,0
2957,79
3057,17
869,2
655,42
2708,12
1566,79
2627,24
3171,2
449,53
523,2
127,2
395,82
1066,21
1153,26
1524,82
2804,65
2859,1
3201,30
1939,31
2274,21
1469,2
2494,24
998,8
1521,12
2810,1
621,21
1378,0
685,42
1322,68
2287,76
2724,77
3073,2
173,10
2677,2
1890,31
1682,2
862,83
1420,2
3196,72
1504,81
563,52
1806,37
301,52
1212,52
1978,0
2702,31
3139,32
376,82
819,14
2047,99
2840,1
3328,84
891,2
2212,23
365,72
1257,96
1712,2
692,58
1866,60
2495,2
343,26
2960,38
3294,63
2395,0
957,68
707,42
1787,37
859,27
2699,2
1079,30
1642,27
1466,67
774,68
3096,83
2525,2
1437,40
2826,79
2021,60
1604,37
872,2
1677,21
1304,4
987,68
2342,2
1892,31
99,51
1683,37
1817,37
1648,79
2299,40
2991,2
3125,2
1734,2
1243,30
1472,2
611,82
2384,4
3021,30
415,27
2555,2
2293,2
1119,0
2239,31
299,81
688,42
2686,76
1486,22
54,21
1684,37
255,11
1685,2
1893,31
1235,31
1622,62
2154,72
2976,0
304,52
3155,2
1102,32
1972,31
1281,34
885,34
1368,2
1502,2
37,53
111,2
822,14
863,15
1050,21
2843,1
546,79
718,42
1838,73
360,68
656,67
2710,2
527,65
1453,2
69,41
324,2
1647,96
2310,68
1873,30
2385,62
3107,83
2637,17
3185,2
3191,82
143,75
2880,40
122,52
1666,2
2873,1
2146,81
421,56
159,56
2587,52
1196,52
1953,31
1349,2
1535,12
3271,46
2024,60
278,12
2874,1
1610,42
396,4
1850,60
2105,21
2903,1
305,2
1350,2
103,16
2302,40
1088,2
1026,27
501,62
3278,63
2558,2
2162,2
1167,2
1900,2
2443,21
1052,21
1500,31
1020,68
2489,24
496,68
1380,2
1105,32
888,34
1505,2
2074,10
436,53
114,2
382,82
825,14
293,4
2138,31
189,32
2107,43
1926,31
