skill,cluster
87,7
4,0
59,0
47,7
61,6
91,7
8,0
85,0
57,2
122,3
38,7
18,1
53,7
64,7
36,0
102,0
11,7
32,5
66,7
49,0
104,0
115,0
15,7
26,7
95,6
119,0
100,5
0,0
121,0
43,7
98,7
81,0
78,1
34,7
17,0
28,0
83,0
93,1
94,0
60,7
7,7
62,7
117,7
45,0
111,0
77,7
5,0
69,3
112,1
113,0
24,7
79,7
101,7
73,0
22,0
56,2
75,0
107,7
13,0
35,0
90,0
39,0
31,5
37,0
92,0
58,7
51,1
41,0
52,0
96,0
118,0
1,0
54,0
109,0
86,7
3,0
14,0
80,0
16,0
71,0
82,0
20,0
84,3
120,2
70,1
50,7
42,3
33,0
44,0
88,0
99,0
65,7
48,0
103,0
114,0
97,2
23,7
116,0
10,0
76,0
25,7
63,0
40,7
106,7
12,0
67,0
89,0
110,7
27,0
105,2
9,4
108,7
2,7
29,0
6,7
55,0
19,7
30,7
74,7
46,0
68,0
72,0
21,7
