stu,cluster
1724,29
193,18
467,29
2352,6
2143,12
3044,5
573,10
2827,7
1257,5
1116,29
8,9
3320,25
1937,29
649,5
1675,29
472,0
2001,13
1698,12
87,9
2515,5
474,9
2400,24
789,21
1754,29
223,18
2933,29
1542,29
2549,3
132,16
2982,7
1002,21
1934,1
1725,7
3012,29
2750,29
2333,6
2488,29
394,21
554,10
1097,29
3137,29
3066,5
2481,26
2567,29
2776,23
2963,29
968,0
1188,3
736,22
1032,21
1697,29
2275,6
2058,8
78,22
1231,1
2780,29
1880,1
2363,6
2518,29
1127,29
2758,10
1261,29
3167,29
1776,29
1473,28
272,9
660,5
519,29
2806,23
417,18
2731,29
1340,29
944,29
1132,0
2347,3
1078,29
2943,28
1989,29
1727,29
485,9
1465,29
336,29
2913,5
3047,5
2548,29
3197,29
2807,23
1169,3
2202,29
1544,29
2443,12
945,29
549,29
918,12
1678,29
2348,3
2696,12
2761,29
486,9
90,9
1607,5
444,12
2256,5
2415,29
3148,29
2248,1
2886,29
979,27
1757,29
1986,1
1495,29
3077,5
2681,5
2540,29
2123,6
439,19
2040,8
2837,23
2469,5
2965,29
1856,7
682,5
1762,0
1070,1
975,29
1708,29
2399,26
713,29
317,29
2753,29
3133,21
557,10
831,21
1100,29
797,28
3178,29
2612,26
530,29
2966,29
1537,3
1179,29
1191,3
291,12
2499,5
2605,23
712,5
249,15
773,21
1624,7
2020,7
3045,29
2992,23
2366,6
2521,29
1392,29
1298,22
1130,29
2704,1
2282,12
663,5
2996,29
2734,29
2015,13
1552,23
3114,21
947,29
2946,28
1081,29
3175,0
1730,29
488,9
2393,1
2813,29
2396,6
457,21
1442,7
1160,29
1576,7
1294,29
898,29
1278,21
693,5
921,12
230,15
2839,23
302,3
93,9
2502,29
1111,29
1131,7
1519,3
1605,6
1760,29
765,29
1134,12
1498,29
1053,24
503,29
2684,5
3080,5
2790,23
2077,1
694,5
225,21
1996,13
1324,29
2927,28
2235,29
2510,5
1859,7
2289,6
1711,29
173,10
2916,18
1894,1
3296,10
666,28
3181,29
1790,29
3307,25
1997,13
795,29
1528,29
533,29
2304,21
3322,4
724,5
2977,6
3132,29
252,15
1741,29
2432,26
404,0
150,4
632,7
746,29
2349,28
2995,23
3211,29
2707,1
2794,6
2821,23
1479,28
1840,7
1558,29
731,22
2603,29
2186,6
2341,29
2320,6
1924,6
1346,29
2615,3
2949,28
3117,21
2532,5
848,18
2167,29
1771,29
207,21
776,29
1425,29
1559,29
1163,29
160,25
275,12
2851,23
3329,25
13,12
1019,21
924,12
3029,29
2633,29
2767,29
833,10
1376,29
677,28
1114,29
119,29
2414,27
3239,24
2292,1
2197,29
58,19
331,28
647,5
3242,29
2584,29
624,21
1193,29
1589,29
1999,13
1327,29
198,29
1119,0
1205,3
2125,9
2387,9
2513,5
2930,28
3098,21
2660,24
377,0
255,11
323,29
1248,1
1517,9
221,18
2401,29
1897,1
2380,6
1406,29
2535,29
3184,29
1793,29
3310,25
932,29
536,29
905,12
1596,9
2307,21
2964,29
2614,29
3313,30
339,9
2265,24
2748,29
445,27
961,29
269,30
2960,28
2543,5
2402,29
2690,24
1744,29
615,29
939,10
112,3
1536,0
1539,5
1600,21
699,28
678,5
209,21
1174,29
1570,29
2577,3
2219,29
1823,29
1843,7
828,29
1016,0
734,22
2326,12
316,3
107,9
1878,1
1387,29
3280,10
2036,29
2661,1
1774,29
236,10
3291,25
517,29
121,29
3241,24
2112,24
1166,29
152,16
2057,8
77,22
3244,29
1284,21
2383,29
1022,21
596,29
2636,29
2770,29
608,3
3090,7
3150,21
1908,1
3195,29
3309,14
1489,17
2200,29
1804,29
1414,23
1938,29
650,5
1434,1
2849,29
547,29
2318,21
1250,0
2170,6
1196,29
3101,21
88,9
1208,3
2139,18
1641,7
2666,29
3196,29
15,24
1805,29
2121,6
1147,29
144,25
1265,21
680,5
102,28
1676,0
817,10
1226,29
2147,0
23,0
1238,3
2546,5
1572,28
2610,26
1930,1
870,21
1439,29
1835,29
1855,7
2151,6
2777,23
372,10
163,16
1311,29
2371,9
3271,0
3283,11
2497,5
1409,6
737,22
710,5
569,29
2059,8
79,22
3043,29
2647,29
2781,29
1881,1
1390,29
1014,7
1128,29
2576,5
2039,29
2751,6
1777,29
2702,1
942,18
2356,1
2115,24
2598,29
711,5
1603,29
2013,13
1341,29
253,30
1219,3
2944,28
56,10
337,29
2914,5
745,3
1960,6
1911,1
683,28
854,26
1492,17
2203,29
1807,29
3324,25
2014,13
2590,29
2145,24
2279,24
1474,5
91,9
364,18
500,28
2416,29
456,21
1758,29
326,28
367,29
964,19
2358,24
1990,6
1150,29
1310,18
3228,29
2233,29
1837,29
976,29
171,10
580,29
2620,29
714,29
820,10
1363,29
1892,1
435,19
865,18
1052,24
3024,6
352,21
2479,26
847,0
3229,29
531,29
1234,0
2126,24
345,18
2868,23
740,22
2021,7
2430,26
610,29
1235,1
2650,29
3046,29
2784,29
756,3
1393,29
1789,29
2268,0
2127,24
1249,21
2643,26
664,5
265,30
2810,23
57,1
1868,29
1264,0
1606,29
2016,13
1344,29
215,29
948,29
1222,3
2898,23
2530,5
2947,28
1556,28
3115,21
743,5
2460,26
3076,29
1276,10
1914,1
1819,29
458,21
1309,7
1423,29
1557,29
428,29
2397,6
3201,29
2441,12
158,25
815,29
922,12
2840,23
3027,29
2461,26
1374,29
3145,21
2285,29
2023,29
117,29
1761,29
2130,12
129,3
329,28
370,29
424,0
766,29
2978,29
1587,29
2498,29
2632,29
1203,3
2236,29
1974,29
1074,1
174,10
583,29
3057,29
1895,1
2711,29
3182,29
261,14
1791,29
1165,12
534,29
1204,3
2210,12
2305,21
2370,1
2129,24
725,5
2757,1
267,30
1500,1
2024,7
1742,29
2433,26
405,0
853,10
1241,6
1396,29
1925,1
1529,1
3274,4
374,12
2271,0
2217,29
1821,29
1841,7
1955,29
430,29
960,29
2604,29
1267,0
2138,1
2616,3
755,5
3118,21
105,9
2950,28
902,24
2533,5
2365,12
2088,0
2168,29
2463,26
234,10
3079,29
2266,6
1688,29
