stu,cluster
322,20
759,21
832,5
2394,3
3073,32
1367,20
1682,32
687,32
1420,32
888,22
1477,8
1215,8
1556,72
1717,26
2468,74
3206,3
2186,59
1132,10
2903,2
2291,32
21,64
900,32
1633,32
638,32
139,19
3004,53
497,29
1020,33
1712,32
2495,32
1104,32
2841,31
208,11
342,11
2005,61
1286,45
2366,3
1788,26
2822,54
1713,32
1035,54
712,38
3054,31
1370,44
2040,18
2449,37
1979,8
756,1
3183,32
2305,29
2525,32
136,27
1067,42
785,64
872,32
254,19
1287,45
3259,27
2031,54
2400,37
97,35
506,54
1614,31
640,54
747,37
1316,45
2109,10
2027,20
1818,26
235,5
316,79
476,68
1743,32
1347,32
2396,3
1690,26
3084,31
1848,54
425,22
1591,20
2555,32
166,27
1769,26
2293,32
2708,45
2741,42
2901,31
81,68
2135,3
1685,32
2950,72
2506,32
1720,26
1511,32
1115,32
1731,35
120,32
2906,2
2160,32
663,51
667,21
1218,44
982,33
2981,32
1203,1
1799,26
2719,32
1328,32
3273,60
3065,31
2857,2
3149,30
1906,8
429,5
3185,32
2936,2
332,72
3204,45
816,5
693,51
211,11
1204,1
2639,44
2753,29
1666,32
283,36
2536,31
1461,8
990,14
2452,37
1563,55
2308,29
63,5
2244,44
229,37
2972,45
1958,32
415,47
2669,44
313,36
305,32
1726,54
2323,44
1887,8
1927,44
1350,32
1088,32
3087,31
3166,32
1851,54
2931,49
1279,8
2558,32
1772,26
1167,32
696,38
2904,31
715,51
2414,24
1230,8
579,47
2142,10
2771,32
509,68
2509,32
1380,32
1086,0
803,20
1723,26
1232,54
2091,44
2775,2
2909,2
123,32
2700,8
2209,36
2961,49
827,5
944,32
85,5
1802,26
1434,8
460,68
1727,32
922,13
1331,32
1465,32
3068,31
765,29
2860,2
180,50
347,47
2413,36
3197,32
2539,32
1544,32
1148,32
2999,53
328,33
1931,32
3097,30
131,13
760,72
1361,32
993,14
1495,32
636,5
2540,32
647,51
1129,54
1862,54
262,60
1939,8
3120,55
2915,31
358,33
1237,1
2095,32
1699,32
335,49
495,38
2830,72
482,68
1890,8
1835,72
2485,74
551,55
195,11
1179,32
374,13
2026,54
2395,0
2103,8
2258,31
278,45
3015,10
784,33
388,33
2554,29
1016,10
2365,13
2774,32
2934,21
2471,31
491,45
1383,32
1603,72
2912,2
126,32
2703,8
2212,36
669,51
3199,32
2023,20
225,11
404,13
1365,20
947,32
1805,26
2119,73
463,68
2725,32
925,13
246,70
1334,32
3325,27
426,37
2057,18
1444,20
129,79
639,1
764,32
510,36
1998,48
2804,32
3024,72
1413,32
1119,0
1756,26
2507,74
1151,32
365,26
1285,32
1140,59
703,21
2185,59
2755,32
1740,54
1760,32
996,14
1498,32
1102,32
1584,35
650,51
1865,54
2234,37
863,15
2531,31
2572,32
2759,38
799,30
1181,32
906,13
1315,32
3306,27
2059,41
2447,37
2239,8
531,72
1893,8
2785,32
3181,32
428,59
1394,32
1676,10
1790,32
1528,32
950,55
23,10
504,54
577,38
524,32
711,38
1489,40
1972,8
2602,32
964,75
1220,1
233,5
1816,26
2025,20
391,33
2390,32
779,29
3082,31
999,32
603,32
1846,54
141,7
2131,37
3211,32
2265,37
50,5
2081,36
435,75
1221,1
2341,32
407,13
11,13
1359,51
2553,31
889,22
2523,8
2003,9
2527,15
1184,55
96,13
1953,8
288,34
1637,37
3112,30
2945,2
2633,32
1021,33
2423,42
2717,31
3241,37
2112,37
1763,32
2286,73
1105,32
250,43
