skill,cluster
23,4
4,0
84,20
15,30
59,0
56,19
32,21
96,24
98,30
13,24
36,0
100,3
102,0
88,1
91,18
49,0
104,0
115,0
26,7
37,1
114,31
0,0
77,30
121,0
50,22
21,4
79,30
101,30
3,1
17,0
28,0
83,0
94,0
120,19
78,31
106,1
71,1
93,31
35,23
53,4
55,1
20,1
45,0
110,1
5,0
66,4
58,30
69,30
118,23
73,0
113,27
22,0
34,2
85,1
75,0
61,10
90,0
70,31
39,0
48,30
86,14
41,0
52,0
7,4
54,0
51,31
65,30
109,0
119,1
14,0
80,0
16,0
81,1
74,17
82,0
8,26
57,19
117,15
97,9
40,30
19,1
33,0
44,0
99,0
103,0
42,30
108,30
111,1
60,1
6,30
116,0
62,29
10,0
76,0
30,12
112,5
63,0
12,0
31,13
67,0
89,0
95,25
27,0
18,31
87,30
105,11
47,30
122,8
2,16
29,0
43,17
11,28
92,1
38,30
25,30
107,1
64,30
1,1
9,6
46,0
68,0
72,0
24,24
